id,situacao,data_inicio,data_fim,nome,assunto,tipo,tipo_orgao,nome_publicacao,tema,local,link
,Convocada,2025-07-18 19:00:00,,Simpósio,,,camara,,Outros,"{'nome': 'Auditório Nereu Ramos', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/76380
,Encerrada (Final),2025-07-17 16:40:00,2025-07-17 19:05:00,Seminário,,,camara,,Outros,"{'nome': None, 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/76801
,Encerrada,2025-07-16 14:47:00,2025-07-16 16:56:00,Audiência Pública,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 06', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/76873
,Cancelada,2025-07-16 10:00:00,,Reunião Deliberativa,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 09', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/76900
,Cancelada,2025-07-17 09:30:00,,Audiência Pública,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 10', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/76929
,Cancelada,2025-07-16 16:00:00,,Audiência Pública,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 10', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/76930
,Encerrada,2025-07-16 09:24:00,2025-07-16 10:59:00,Comissão Geral,,,camara,,Outros,"{'nome': 'Plenário da Câmara dos Deputados', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/76968
,Cancelada,2025-07-16 15:00:00,,Audiência Pública,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 12', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/76992
,Encerrada (Final),2025-07-17 19:00:00,2025-07-17 21:43:00,Mesa Redonda,,,camara,,Outros,"{'nome': None, 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77094
,Cancelada,2025-07-16 09:30:00,,Reunião Deliberativa,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 07', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77101
,Encerrada,2025-07-16 11:51:00,2025-07-16 11:54:00,Reunião Deliberativa,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 16', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77139
,Encerrada,2025-07-21 14:00:00,2025-07-21 15:32:00,Visita Técnica,,,camara,,Outros,"{'nome': None, 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77155
,Cancelada,2025-07-16 11:30:00,,Reunião Deliberativa,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 12', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77166
,Cancelada,2025-07-16 11:00:00,,Comissão Geral,,,camara,,Outros,"{'nome': 'Plenário da Câmara dos Deputados', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77199
,Cancelada,2025-07-16 09:00:00,,Audiência Pública,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 14', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77221
,Cancelada,2025-07-16 14:00:00,,Reunião de Comparecimento de Ministro(a),,,camara,,Outros,"{'nome': 'Anexo II, Plenário 09', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77224
,Cancelada,2025-07-16 10:00:00,,Reunião Deliberativa,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 12', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77227
,Cancelada,2025-07-16 10:00:00,,Reunião Deliberativa,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 05', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77229
,Cancelada,2025-07-16 11:00:00,,Reunião Técnica,,,camara,,Outros,"{'nome': 'Anexo II, Ala B, Sala 173B, Superior', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77232
,Cancelada,2025-07-16 10:00:00,,Reunião Deliberativa,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 08', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77236
,Cancelada,2025-07-16 13:30:00,,Reunião Deliberativa,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 14', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77245
,Cancelada,2025-07-16 10:00:00,,Reunião Deliberativa,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 03', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77246
,Cancelada,2025-07-16 10:00:00,,Reunião Deliberativa,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 04', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77250
,Cancelada,2025-07-16 10:30:00,,Reunião Deliberativa,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 06', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77252
,Cancelada,2025-07-16 16:00:00,,Reunião Técnica,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 04', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77258
,Cancelada,2025-07-17 13:00:00,,Audiência Pública,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 14', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77260
,Cancelada,2025-07-16 10:00:00,,Reunião Deliberativa,,,camara,,Outros,"{'nome': 'Anexo II, Plenário 10', 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77266
,Cancelada,2025-07-16 09:30:00,,Mesa Redonda,,,camara,,Outros,"{'nome': None, 'predio': None, 'sala': None, 'andar': None}",https://dadosabertos.camara.leg.br/api/v2/eventos/77267
